path,label
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/c1f960d345c3069f83d1c64af000752df7a6020b57520029c6fa064b115dacb9.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/0d9b47b58234df3aed8c5e414478a6fc0dc56bf254d99fd07af507cdf78948de.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/05445a004eb1b127d9430be6774776ed265a17eee570a391f91f9c359b1a9130.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/ae13fd6abcc8e5f6ef4071844060d49443a41030bb9bde7fc78506ae117d9f9c.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/bac3f8503ddf38f90c08504bb20abdf9b6e238533cf53b51f882238d169d8e98.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/b2e5776a40109a53ea8cac6af66f7e88fc13b5c1f771d44e2d886712c0d7d82a.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/2f3ef813392788031dc683045d054a46201977014153e6c1f600d21bfc761209.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/9a13a4e8c3e9167ceee78dfb8d2a46f98f0deb39001b6aed3d3baa7fa4b265da.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/5b62a4854632781386fa1a594801b5a90b95d396ea1440e3668cb3a8c4b2e62a.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/db88fe81bfc39c0cb54dd3c85a6812cc3e9e4784276352de6078b3c6216812ae.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/901ef5ad18e4391d92db765bf7eb552de73b8705cc98158d2553882188279b08.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/0ddf85256ca47c4106826a9e83e3f1a9419297c70f64d0501c5c0981bc9c7776.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/9fdd409eb7f823d81af479df7f9d6c2086336a4047ec7da4b3f9ddd3f700c35a.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/589d0f32ebe4bc914b91fe159df774a74d9a8f1bdfb3c65d6f2d91521022f17d.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/f0bfae45137691dc392a9d620e263952fc13862f6bf4770a5b619831ab0589f5.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/4f08ce7b83cfe66b8ccd20ef87c89af9d4b9789e652abe3b05bb1a0340764391.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/rust/8551f4a3d1f54fc9d95306bd4559c4c78cceb003e9547ce794c7251229211782.jpg,rust
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/09585d881b1ed9ba6d62a3b8d2d7d4191629ca35201e3aacb42f8956e454ab4e.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/43788a6a74b99ff780b07a8d874e3a1eec0d712980f6335310f802c8bc48b1b4.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/db0076cfd3d55e0d74dd4e26fa3ac8f4b47dd5a01046d5d3cb5215ca359e7e63.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/rust/e29c41e2d37893faea029a0a09823feeb60c02163179fb8590b2ef2a363b43de.jpg,rust
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/9b570332e619c70988582b8117ed00f3ceb30c29b75a02f0973a767e75c31d1d.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/ff14ffc7f2cc24693f7a8dbab276a8cfb6a3586abc464cf77b183750fe89e9a8.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/4e226061c3ed44d9d3fe590047dea180ae037b51e2e474261d726587399f28cc.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/37da6259060b2186fdb690b7ef3582e715c082731807a1eb25af2dcf1689f23e.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/33cf55e57ce707a0f100f4a7b2a6149fcb710bf8c06077c749e83b587cbae437.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/e9bbd5b786c09253c779346a2e1674c8ea38865c5191c25d9e697ee2f60a6863.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/5656be5a2b91838c959dbebb19664dfe5cc11f297e059bd9a2d4467bf2a11ba4.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/ee6088ee455178a4909bd627e469f0b4f0621bc9ff9534e0bc938aec8c17cc82.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/85d4c6e121b11c453bae389279f7b532a381792d8076e5f422bac96242610f57.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/a181c47d8c900ace1fe15bd8fea676f87c1420a389a803be2e6f18c563c32f67.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/abaac62fbc8ebd19086844dc334b22d5f005595a24342dcfbfd853b78c4fc39b.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/2165d356257ef4f15f53a0bd114d541627d7a8bb627f21e70f4fdd2853613444.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/62180d54d5205c7178da7425877a6f24fa3dd4aa22de78dd0bd0ac1c2d76e9fb.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/5083bc59c126e7b6591671e2ad7f7d54909afd25884d18d23ddc009d6e2d8ba4.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/eeb840e775cc2d7d2c1c6c66f72b59703b3258d9b47838b0e6c9348be5987a04.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/9c2f21fc77aa12156371e9093e3bff3f7b7e63d8467b6204ea0223fb68e65f96.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/9c066e26acf72f8dc3a1efeff0a9d4798f981f6a38e9ed546f1c3630c042b9ac.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/rust/06ededb69ba2e6b26e57ca818cb9451b346a034483eb07d5ea85ac45ea6c21f9.jpg,rust
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/b3f7816be5fdb3aafce9fd2c280bae1a91633be04c584571948ae7cbacdf6949.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/8d4de831252b5067a2e7594136ea43368ac9cc95dded522fad178cea933773fa.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/83efd748615216e2b931140f9aefc667658994567b1aa03396b433e4401519ee.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/1a4be129c1ff7d58792eb26e733a1fc82437960bf281ad096c5abd17490180e6.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/a93c37e629fcd9d238312aabff14982158d14bf4c18ab88f96ad14c376eab86a.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/3c50a52a0eeb83fa4aa3332781da8c962df80ce6e6c1f59cdffbe49d32ebe40b.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/1bff6086b04dc670f1ae2e588db8c620ebd60c0784bf1dbbc82c0b8a37a7b26a.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/296352ca2e2134bac9240da26eb7cb21ab42f6a6a6ff2baa9e188d9113c6548f.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/fada46f2e348b522863c0f2c01b8f3b9cb2992c2d8a480a34df2d4b1bc9ea834.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/c7954a11cd0e5dd705d51fa6fa7366ecb061e2f942276ee27434978a1a7b19a9.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/rust/b917a0fb98e954d6c3c06ccde1820a2e17a6f1b011cfbe7dbe86c3ae00c754d8.jpg,rust
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/5611fe3722f75c9fa69272c1239c42d0d9ce52c505edfaedb2a3158fc40760cf.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/36299ceb45175cec7cb7c4796c6489017f05fd56d2a728aadd4ef2fd94f3097d.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/e8fc45af54990e566083dd9230b55e7408f20b0161afa6734eb29acf478c9040.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/44f907f4e467d38818be196ceecf4daad38741a133a0d81713f578cf100d8879.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/6c6b436dcaadf00a6cae3c8293e260a40961c27ac1bd6e305805e045ed550b0f.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/caaf4010ed06352324645e410e118f95be1a8e1301a89280db71ddecc1f5c844.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/0805343441ff70d9a023da20241a858f4a0baaeeef14b6989bed524ac6f9902a.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/9bd677955a78b2afb5a7ce18e44be75acd57da70b388162efd6f6a4df3ff49f3.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/14f3f9748efa3a056a44c4ded47861d24fd7f0e6567c4853bc672cb34dd3e912.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/e73fdb8dd62af8453397d8b5b5810f677bc4b428ec13089b3ef12eea3b236116.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/rust/45b9269fd390d05aca89eaab4f7da75f07f20a276060d204cbe0922ab4e7930e.jpg,rust
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/de80dbe0e217459e21d406fec9c7900231ff6ce6905f16f0bf4bad897ff7b5fb.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/dcefe72a9c3a52fb60684c79a0640ce45dda0dee5c511067ffa12f85e3df3a47.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/rust/87c5050465e45ff121092b29a835adf4506e7d655d4cd8aba3de0dacae335781.jpg,rust
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/3fd4b0210afb4a9534ba1e7519322aab8429fb3e8b0c477574f72fb8ce9781e8.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/94a48d07a434063df5b74aee33a0ba2f8768a0823a4c1ab8c1b44a65f60c3316.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/b570d563d39167661347316ccd82f07d3193bc56eab92348d2cefaa64d35adc8.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/1746a88f21752e0ded124960253d3e5f7594271306675f2f020e03e25d8145a0.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/7936185a45908d21ff402dcd9ba6be1e8c51ce57c7377045f7a170d2797b88e8.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/rust/de77b0639eefa85328745fd37cec5d2cc349962159b4c48f3203e60a74313a7c.jpg,rust
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/1ed809ce45489bdcf292d3cd19f94e0cdd34a5ec3190f0949c8d3b06d176f6ae.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/2972a986cb504aee6f2a00a88c680c8ac1eff9c04db2c88ea4345b3daa00cd31.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/7e023e5aa8face7a2b5ef22fd5411aeac522413ccba053a17a9bc7481a39d17b.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/a5dfc29393dcb40168ef7ab85604be31724f3fae09a4f8e1c9c2c984c99d32f7.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/9097653883e3ec3a1eadfe73173e5078370601a77795ed44109ef34632cb5469.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/2ce7af0a04ba45020a75c1c954d5704a94cb66e775026771cbd001c03c28294b.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/b5273c90be6748c27d59fa4451c882f99e03367d64952574035124cc0b366755.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/dba993cbffec23e0efa81aa3eedd76ae1b492fdf7187e7d50f11b2fb66ca173c.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/263d561731a32710f3035ef620bd9e211dfb548654814e8ec8cd5d2c3a4f654c.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/rust/74e7c0bd08f6ce3aee2e3de640a806be899a506982e37437531806180555fd8d.jpg,rust
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/691d71d2dea091bb5d17acee66dcd46a802340559e72685930b3006974364798.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/327d7b064dfec41d4c604a452f9eb9926b09ca42b9a5e11e6d797f35cd6ba2b8.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/6979b6e5d1b5e72c9349f59331bc2ec99d2eb530d700dfd3615cfaa0ef9acb94.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/21a5e9ad41f90320d59f8d95c97f13546051fa177867f1ab17482094d2f4c3b5.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/rust/63bc7aea61a72ffe7736b913efd247ab70e1603fb0442618f899f1a50e928e88.jpg,rust
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/8debfe6c951716496f14e96f4ea08047f593e8da597f57a66f45d2c5951bdfe5.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/85a659aa23ae7236e4f1de763d044f5524aa5cfb56be146a4fd2168ded6b5659.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/eaee118cbbc48f77b3bb344448b65f3444f9538e407cf818a66f9df02aa0ce2c.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/a9065eadfde6a6fa33d887b8fd22c5b7eca963844d9ac5ab1e8b1f548084af21.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/5eaaf6dd1327d9c546785595eb12dc17ca694c40e8a667580f01f07978f085d8.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/9ff8c44f4d1b45cbd685d17b12768ee8127ddf06ff80b8c24096b065cf81a1a8.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/d0b7f926630032e397168f28186c35d41cf5ba5ceeb8822b7d6f61bf24b33665.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/b2447fb56f418ee18260f2b00332d75592848915a57cdb248136bc8dfdae1837.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/0a2a72024f891672ecbe4cab55db76842af97c3eadbf440f1d6e73e81c506472.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/c289830ce47042b8ce85bdbcf2971baed3c5a184a438c594da46e354b83a5f2d.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/4ba8bc6dc5d4fa9fadc85e9af5ad968ca6bb53a657c2bb9ecd508a443ca98085.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/24146ca21b125113930f9b8fc49f559fa9f1e8afee961be514175a21b109dae0.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/46adafd0b0ad2585ee57e4fb33207526d621625d19107a24e2937254fbd8ba72.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/60d82b8ada1e2c066572ec177dec67d6b4b9644c5e2beefd67649e7840da875e.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/rust/783ae2c1572113b7c2730eaffd825cee090be1b7001ac1eb085dcc9a05bdeb8f.jpg,rust
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/e510244a45e17fe849623664ce5bca72299c5765987c082e5e78275200c81bdd.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/81c767718ac124abefa3ce5770c44f807c3b72d6f690682215d7ba1023490929.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/5170d607c280df5341a435dbdec356a8c0c60d891b4563fa1b5f4bbb15daa3f7.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/f634828302fbdb2975eead406505db199e9d1c0c0e42f35bd8d9487279c6c747.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/6fca4018b82a067ed4452f1aa61d88e1a25e382ad2994b88046770b99985fda4.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/5eb3e2395f6221d343d8cc557eea1ac2a08c0574524b9457ec914048fa8a3438.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/f7d6678c05140bf4d92bd324a2f1ec5aa8bd91c0153c13a1192e12834995c5bc.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/43a9c5ae268382a2fc4cbeac0747a4e367620110919b6c1a559bcd579afb751e.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/5a6e535bfd7a9a290d16a6ebfb16c4dbc0832928111fbee12b934ab5d6e32769.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/bd1c29de5dc66211691cae67f362a1d5dae7f6818f9c5b646691a5aea0c735e9.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/ead11c9028a14b777ecd635a6e790f06d00f9ce53925e112d9d986b21aecba74.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/e7b5c9ee0abda95ee75bfa06df5f10909c569558fb78d57cb7b4590626372bfe.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/07a2a214546617aa25bdeda245e98a5f58a8800fdac004aa2c735291f73cfe4e.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/3edf0aaeeee08e5c122a15bb887fad5b6a4f0b877163806ed9871308c3b543cb.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/26d9053e5fd5631c40b5c2330fd1dce83734dac9ff2140cec8db2041871976b4.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/ed1f7ddd3825fd5f227a138dc322ed79a7995699099b79d6cc60175bdec203fb.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/rust/e806fd9379f367fb39a3424013302c7643897b4238b7143bb3065fa25636d091.jpg,rust
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/7a6c269af003e3bd9a8df166b61a19cd8ee1cdeea45124c344b3f83c6ef4f0a0.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/c8c2380e1694bc6d742e4e8d7bc578833f412c48f1df62a5e842c7e2ef27436f.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/931dda70b5d4babf32547d642e9faffb054c74cf8673fa3405704ff80ab5e734.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/92bdaebf1f48765e6b457bff1a9ba54510458331f8fd82f7369a11eed42c988f.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/49c58eb74f3fc48ba39590cb563c6ebe5c9a5209af7911d9afc4ca2ad528fbb9.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/7b69b655a67f2ad9250d106f916dafc7c05cfd3cdce45a00307f81a943f98309.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/7749a10b5fac4772014c29801a2bbe4f3e0b3731382fc670e074c392627aeed5.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/25d2c51a1db65e204c6634ec0ae13f33c683db21cb2dc42f9b3e04bdd8f46c4d.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/706ce9467ffe39e3ed9ccb1f17cdd22f5082e5aae6616410a0678027272d1f55.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/9a31e2dda9cacf69fee8ffd249fb5c63bcb1077577440ec8b84a159839b51fde.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/6fe9ea961e61ca5bbeb93426c197dc59cce4098fcb5a67f9e8eec8dd3fa49972.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/62902d8e1171a046b4d0b17be3f0d9c4c4d689c90f389e71187e99cf6a472d09.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/841345df3aa691438a25b487a91dcebf2c152318332bd1a38260e8f5a0f5c62c.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/73a345a1382655c7697d26dfc4fdd512b1f2b9fb1064afbfe07f5ebedd373eb9.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/d4c4e3a8f423ef3d690eeb1185d955abbd775001ec0e839987212695ec778345.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/black_rot/5e3051bd722a7395ecf68472746c12915a0dcd2846bcb38e8dac0a3e4a9b8d30.jpg,black_rot
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/healthy/90f6edafee0d1d4bbc9b4da7e48b86dc7a4869f6006a6a2a6f8e8954336fe244.jpg,healthy
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/2bfe657408deb6c4907a1c8b03be1028ddbbad37191f1cc544626db2e442dee2.jpg,scab
/content/drive/My Drive/Colab Notebooks/apple_leaf_specialist/data/final/train/scab/738115c68f25b73e0b2646158ed5022d9d92417fd462360196e02ac71caab764.jpg,scab
